fecha_hora,modulo,tipo,descripcion
2025-12-01 19:48:44,cambios,INFO,Nuevo archivo Archivo=./test_samples\hello.txt
2025-12-01 19:47:26,auditor,INFO,Snapshot generado exitosamente. Carpeta=./test_samples
2025-12-01 19:48:44,auditor,INFO,Se detectaron cambios en la carpeta. Carpeta=./test_samples
2025-12-01 19:48:44,auditor,INFO,Snapshot generado exitosamente. Carpeta=./test_samples
2025-12-01 23:37:49,auditor,INFO,Snapshot generado exitosamente. Carpeta=./test_samples
2025-12-01 23:38:22,auditor,WARNING,El archivo snapshot.json ya existe.
2025-12-01 23:38:29,auditor,INFO,Snapshot generado exitosamente. Carpeta=./test_samples
2025-12-01 23:38:32,auditor,INFO,No hay cambios en la carpeta. Carpeta=./test_samples
2025-12-01 19:49:43,organizer,INFO,Carpeta creada: JPG
2025-12-01 19:49:43,organizer,INFO,Movido: descarga.jpg -> JPG
2025-12-01 19:49:43,organizer,INFO,Carpeta creada: TXT
2025-12-01 19:49:43,organizer,INFO,Movido: Hola.txt -> TXT
2025-12-01 19:49:43,organizer,INFO,Movido: hello.txt -> TXT
